year,idx,anchor_type,event_raw,distance_m_std,clock_deg_std
2015,505,weld,girthweld,4467.249384000001,
2015,506,weld,girthweld,4479.395664000001,
2015,507,weld,girthweld,4481.495736,
2015,508,weld,girthweld,4493.07204,
2015,517,weld,girthweld,4502.100216,
2015,518,weld,girthweld,4503.980832,
2015,519,weld,girthweld,4516.00824,
2015,520,weld,girthweld,4528.209384,
2015,521,weld,girthweld,4540.401384,
2015,522,weld,girthweld,4542.25152,
2015,524,weld,girthweld,4548.10368,
2015,529,weld,girthweld,4559.189256,
2015,536,tee,tap,4560.289584,90.0
2015,537,valve,valve,4561.319808,
2015,542,tee,tap,4561.920264,90.0
2015,564,weld,girthweld,4563.489984,
2015,572,weld,girthweld,4567.51944,
2015,577,weld,girthweld,4579.726680000001,
2015,592,weld,girthweld,4591.927824,
2015,622,weld,girthweld,4604.153352,
2015,624,weld,girthweld,4616.336208,
2015,628,weld,girthweld,4628.506872,
2015,630,weld,girthweld,4640.680584000001,
2015,632,weld,girthweld,4652.671416,
2015,637,weld,girthweld,4655.990688,
2015,638,weld,girthweld,4659.075264,
2015,640,weld,girthweld,4661.90076,
2015,642,weld,girthweld,4667.170752,
2015,644,weld,girthweld,4669.6122000000005,
2015,645,weld,girthweld,4675.958136,
2015,647,weld,girthweld,4679.527344,
2015,650,weld,girthweld,4683.651288,
2015,652,weld,girthweld,4686.327432,
2015,655,weld,girthweld,4690.128288,
2015,656,weld,girthweld,4702.3782,
2015,657,valve,valve,4704.2588160000005,
2015,658,weld,girthweld,4705.840728,
2015,660,weld,girthweld,4713.51864,
2015,661,weld,girthweld,4725.722832,
2015,663,weld,girthweld,4737.93312,
2015,664,weld,girthweld,4750.131216000001,
2015,666,weld,girthweld,4762.3445520000005,
2015,667,weld,girthweld,4774.591416,
2015,668,weld,girthweld,4786.832184,
2015,669,weld,girthweld,4799.051616000001,
2015,670,weld,girthweld,4811.246664,
2015,671,weld,girthweld,4823.44476,
2015,672,weld,girthweld,4834.070088,
2015,674,weld,girthweld,4846.237704,
2015,675,weld,girthweld,4858.454088,
2015,676,weld,girthweld,4870.676568,
2015,677,weld,girthweld,4882.905144,
2015,679,weld,girthweld,4895.088000000001,
2015,680,weld,girthweld,4906.996536000001,
2015,681,weld,girthweld,4919.209872,
2015,682,weld,girthweld,4931.420160000001,
2015,683,weld,girthweld,4943.6274,
2015,684,weld,girthweld,4955.828544000001,
2015,685,weld,girthweld,4968.044928,
2015,686,weld,girthweld,4980.2552160000005,
2015,688,weld,girthweld,4992.419784000001,
2015,689,weld,girthweld,5004.642264,
2015,691,weld,girthweld,5016.84036,
2015,693,weld,girthweld,5029.029312,
2015,700,weld,girthweld,5041.251792000001,
2015,701,weld,girthweld,5053.477320000001,
2015,703,weld,girthweld,5065.693704,
2015,709,weld,girthweld,5077.92228,
2015,715,weld,girthweld,5090.147808,
2015,725,weld,girthweld,5102.376384000001,
2015,726,weld,girthweld,5114.601912,
2015,729,weld,girthweld,5126.824392,
2015,730,weld,girthweld,5139.031632,
2015,731,weld,girthweld,5151.248016,
2015,732,weld,girthweld,5163.430872,
2015,733,weld,girthweld,5175.6564,
2015,734,weld,girthweld,5187.884976,
2015,735,weld,girthweld,5200.1166,
2015,736,weld,girthweld,5212.33908,
2015,737,weld,girthweld,5224.613376,
2015,738,weld,girthweld,5236.90596,
2015,739,weld,girthweld,5240.520888000001,
2015,740,weld,girthweld,5252.782992,
2015,741,weld,girthweld,5265.005472,
2015,742,weld,girthweld,5277.24624,
2015,743,weld,girthweld,5289.477864,
2015,744,weld,girthweld,5301.682056000001,
2015,745,weld,girthweld,5313.892344,
2015,748,weld,girthweld,5326.09044,
2015,750,weld,girthweld,5338.285488,
2015,751,weld,girthweld,5350.523208,
2015,753,weld,girthweld,5353.376136,
2015,754,weld,girthweld,5361.1302479999995,
2015,755,weld,girthweld,5370.670488000001,
2015,756,weld,girthweld,5382.899064,
2015,757,weld,girthweld,5395.139832000001,
2015,758,weld,girthweld,5407.383648,
2015,759,weld,girthweld,5419.590888000001,
2015,760,weld,girthweld,5431.813368,
2015,761,weld,girthweld,5444.044992,
2015,762,weld,girthweld,5453.743728,
2015,763,weld,girthweld,5465.957064,
2015,764,weld,girthweld,5478.197832000001,
2015,765,weld,girthweld,5490.423360000001,
2015,766,weld,girthweld,5499.969696,
2015,767,weld,girthweld,5512.179984000001,
2015,768,weld,girthweld,5524.365888,
2015,769,weld,girthweld,5536.55484,
2015,772,weld,girthweld,5548.752936,
2015,773,weld,girthweld,5551.252296000001,
2015,776,weld,girthweld,5563.4382000000005,
2015,777,weld,girthweld,5575.621056000001,
2015,778,weld,girthweld,5587.785624000001,
2015,779,weld,girthweld,5599.9349520000005,
2015,780,weld,girthweld,5612.1269520000005,
2015,781,weld,girthweld,5624.3189520000005,
2015,783,weld,girthweld,5636.483520000001,
2015,784,weld,girthweld,5647.011312,
2015,785,weld,girthweld,5659.212456,
2015,786,weld,girthweld,5671.373976,
2015,787,weld,girthweld,5683.532448,
2015,788,weld,girthweld,5695.724448,
2015,789,weld,girthweld,5707.9134,
2015,790,weld,girthweld,5720.12064,
2015,791,weld,girthweld,5732.321784000001,
2015,797,weld,girthweld,5743.084272,
2015,799,weld,girthweld,5746.687008,
2015,801,weld,girthweld,5758.988736,
2015,802,weld,girthweld,5771.2356,
2015,803,tee,tap,5772.8449439999995,0.0
2015,804,weld,girthweld,5783.4702720000005,
2015,805,weld,girthweld,5792.693520000001,
2015,806,weld,girthweld,5804.87028,
2015,807,weld,girthweld,5817.071424000001,
2015,808,weld,girthweld,5829.278664,
2015,809,weld,girthweld,5841.492,
2015,810,weld,girthweld,5853.684,
2015,811,weld,girthweld,5865.696168,
2015,812,weld,girthweld,5877.897312,
2015,815,weld,girthweld,5890.067976,
2015,816,weld,girthweld,5902.241688000001,
2015,817,weld,girthweld,5914.4245439999995,
2015,818,weld,girthweld,5926.613496000001,
2015,819,weld,girthweld,5938.805496000001,
2015,820,weld,girthweld,5951.003592000001,
2015,821,weld,girthweld,5963.16816,
2015,822,weld,girthweld,5975.372352000001,
2015,823,weld,girthweld,5987.576544,
2015,824,weld,girthweld,5999.765496,
2015,825,weld,girthweld,6011.957496,
2015,826,weld,girthweld,6024.1434,
2015,827,weld,girthweld,6036.307968,
2015,828,weld,girthweld,6048.509112,
2015,829,weld,girthweld,6060.695016,
2015,830,weld,girthweld,6072.905304,
2015,831,weld,girthweld,6085.075968,
2015,832,weld,girthweld,6097.23444,
2015,833,weld,girthweld,6109.435584000001,
2015,834,weld,girthweld,6121.627584000001,
2015,835,weld,girthweld,6133.837872,
2015,836,weld,girthweld,6146.087784000001,
2015,838,weld,girthweld,6158.325504,
2015,839,weld,girthweld,6170.532744,
2015,840,weld,girthweld,6182.706456000001,
2015,841,weld,girthweld,6194.919792000001,
2015,844,weld,girthweld,6207.148368,
2015,845,weld,girthweld,6219.4104720000005,
2015,847,weld,girthweld,6231.206232,
2015,848,weld,girthweld,6243.419568,
2015,849,weld,girthweld,6255.620712,
2015,850,weld,girthweld,6267.837096,
2015,851,weld,girthweld,6280.056528,
2015,852,weld,girthweld,6292.266815999999,
2015,853,weld,girthweld,6304.455768000001,
2015,854,weld,girthweld,6316.672152000001,
2015,855,weld,girthweld,6328.9007280000005,
2015,856,weld,girthweld,6341.12016,
2015,857,weld,girthweld,6353.391408,
2015,858,weld,girthweld,6356.963664000001,
2015,859,weld,girthweld,6369.183096000001,
2015,860,weld,girthweld,6381.369000000001,
2015,861,weld,girthweld,6391.555416,
2015,862,weld,girthweld,6403.768752000001,
2015,864,weld,girthweld,6415.966848,
2015,865,weld,girthweld,6422.361552000001,
2015,866,weld,girthweld,6434.58708,
2015,867,weld,girth weld anomaly,6434.599272,90.0
2015,869,weld,girthweld,6446.782128000001,
2015,870,weld,girthweld,6459.007656000001,
2015,871,weld,girthweld,6471.22404,
2015,873,weld,girthweld,6483.419088000001,
2015,877,weld,girthweld,6495.626328,
2015,893,weld,girthweld,6507.818328,
